Date,Open,High,Low,Close
2019-08-30,53.5,53.5,53.5,53.5
2019-09-30,51.6,51.6,51.6,51.6
2019-10-31,52.2,52.2,52.2,52.2
2019-11-29,51.9,51.9,51.9,51.9
2019-12-31,52.9,52.9,52.9,52.9
2020-01-31,52.8,52.8,52.8,52.8
2020-02-28,51.6,51.6,51.6,51.6
2020-03-31,26.4,26.4,26.4,26.4
2020-04-30,12,12,12,12
2020-05-29,30.5,30.5,30.5,30.5
2020-06-30,48.3,48.3,48.3,48.3
2020-07-31,54.7,54.7,54.7,54.7
2020-08-31,50.5,50.5,50.5,50.5
2020-09-30,48,48,48,48
2020-10-30,46.9,46.9,46.9,46.9
2020-11-30,41.7,41.7,41.7,41.7
2020-12-31,46.4,46.4,46.4,46.4
2021-01-29,45.4,45.4,45.4,45.4
2021-02-26,45.7,45.7,45.7,45.7
2021-03-31,49.6,49.6,49.6,49.6
2021-04-30,50.5,50.5,50.5,50.5
2021-05-31,55.2,55.2,55.2,55.2
2021-06-30,58.3,58.3,58.3,58.3
2021-07-30,59.8,59.8,59.8,59.8
2021-08-31,59,59,59,59
2021-09-30,56.4,56.4,56.4,56.4
2021-10-29,54.6,54.6,54.6,54.6
2021-11-30,55.9,55.9,55.9,55.9
2021-12-31,53.1,53.1,53.1,53.1
2022-01-31,51.1,51.1,51.1,51.1
2022-02-28,55.5,55.5,55.5,55.5
2022-03-31,55.6,55.6,55.6,55.6
2022-04-29,57.7,57.7,57.7,57.7
2022-05-31,56.1,56.1,56.1,56.1
2022-06-30,53,53,53,53
2022-07-29,51.2,51.2,51.2,51.2
2022-08-31,49.8,49.8,49.8,49.8
2022-09-30,48.8,48.8,48.8,48.8
2022-10-31,48.6,48.6,48.6,48.6
2022-11-30,48.5,48.5,48.5,48.5
2022-12-30,49.8,49.8,49.8,49.8
2023-01-31,50.8,50.8,50.8,50.8
2023-02-28,52.7,52.7,52.7,52.7
2023-03-31,55,55,55,55
2023-04-28,56.2,56.2,56.2,56.2
2023-05-31,55.1,55.1,55.1,55.1
2023-06-30,52,52,52,52
2023-07-31,50.9,50.9,50.9,50.9
2023-08-31,47.9,47.9,47.9,47.9
2023-09-29,48.7,48.7,48.7,48.7
2023-10-31,47.8,47.8,47.8,47.8
2023-11-30,48.7,48.7,48.7,48.7
2023-12-29,48.8,48.8,48.8,48.8
2024-01-31,48.4,48.4,48.4,48.4
2024-02-29,50.2,50.2,50.2,50.2
2024-03-29,51.5,51.5,51.5,51.5
2024-04-30,53.3,53.3,53.3,53.3
2024-05-31,53.2,53.2,53.2,53.2
2024-06-28,52.8,52.8,52.8,52.8
2024-07-31,51.9,51.9,51.9,51.9
2024-08-30,52.9,52.9,52.9,52.9
2024-09-30,51.4,51.4,51.4,51.4
2024-10-31,51.6,51.6,51.6,51.6
2024-11-29,49.5,49.5,49.5,49.5
2024-12-31,51.6,51.6,51.6,51.6
2025-01-31,51.3,51.3,51.3,51.3
2025-02-28,50.6,50.6,50.6,50.6
2025-03-31,51,51,51,51
2025-04-30,50.1,50.1,50.1,50.1
2025-05-30,49.7,49.7,49.7,49.7
2025-06-30,50.5,50.5,50.5,50.5
2025-07-31,51,51,51,51
2025-08-29,50.5,50.5,50.5,50.5
2025-09-30,51.3,51.3,51.3,51.3
2025-10-31,53,53,53,53
2025-11-28,53.6,53.6,53.6,53.6
2025-12-31,52.4,52.4,52.4,52.4
2026-01-30,51.6,51.6,51.6,51.6
